SERIALNO,PUMA,HINCP,WGTP,NP,state
2019GQ0061624,306,-60000,0,1,15
2019GQ0061669,308,-60000,0,1,15
2019GQ0061685,304,-60000,0,1,15
2019GQ0062547,304,-60000,0,1,15
2019GQ0062636,200,-60000,0,1,15
2019GQ0062974,301,-60000,0,1,15
2019GQ0063090,301,-60000,0,1,15
2019GQ0063179,302,-60000,0,1,15
2019GQ0063234,306,-60000,0,1,15
2019GQ0063265,308,-60000,0,1,15
2019GQ0063336,301,-60000,0,1,15
2019GQ0063465,302,-60000,0,1,15
2019GQ0063763,301,-60000,0,1,15
2019GQ0063886,301,-60000,0,1,15
2019GQ0064233,200,-60000,0,1,15
2019GQ0065221,200,-60000,0,1,15
2019GQ0065343,305,-60000,0,1,15
2019GQ0065551,306,-60000,0,1,15
2019GQ0065712,100,-60000,0,1,15
2019GQ0065740,301,-60000,0,1,15
2019GQ0065874,302,-60000,0,1,15
2019GQ0065963,301,-60000,0,1,15
2019GQ0066176,304,-60000,0,1,15
2019GQ0066437,301,-60000,0,1,15
2019GQ0066833,301,-60000,0,1,15
2019GQ0067625,306,-60000,0,1,15
2019GQ0067847,306,-60000,0,1,15
2019GQ0067852,301,-60000,0,1,15
2019GQ0068233,306,-60000,0,1,15
2019GQ0068251,100,-60000,0,1,15
2019GQ0068347,308,-60000,0,1,15
2019GQ0068374,100,-60000,0,1,15
2019GQ0068404,200,-60000,0,1,15
2019GQ0068445,200,-60000,0,1,15
2019GQ0068481,301,-60000,0,1,15
2019GQ0068808,302,-60000,0,1,15
2019GQ0069308,305,-60000,0,1,15
2019GQ0069392,303,-60000,0,1,15
2019GQ0069399,306,-60000,0,1,15
2019GQ0069452,304,-60000,0,1,15
2019GQ0069661,302,-60000,0,1,15
2019GQ0069829,304,-60000,0,1,15
2019GQ0069902,301,-60000,0,1,15
2019GQ0070205,200,-60000,0,1,15
2019GQ0070412,301,-60000,0,1,15
2019GQ0070582,307,-60000,0,1,15
2019GQ0070600,301,-60000,0,1,15
2019GQ0070633,305,-60000,0,1,15
2019GQ0070713,305,-60000,0,1,15
2019GQ0070716,302,-60000,0,1,15
2019GQ0070805,306,-60000,0,1,15
2019GQ0070846,301,-60000,0,1,15
2019GQ0070968,304,-60000,0,1,15
2019GQ0071088,305,-60000,0,1,15
2019GQ0071644,306,-60000,0,1,15
2019GQ0072059,304,-60000,0,1,15
2019GQ0072163,301,-60000,0,1,15
2019GQ0072388,200,-60000,0,1,15
2019GQ0072916,301,-60000,0,1,15
2019GQ0072927,100,-60000,0,1,15
2019GQ0073286,306,-60000,0,1,15
2019GQ0073326,302,-60000,0,1,15
2019GQ0073651,307,-60000,0,1,15
2019GQ0073782,305,-60000,0,1,15
2019GQ0074533,306,-60000,0,1,15
2019GQ0074581,200,-60000,0,1,15
2019GQ0074763,302,-60000,0,1,15
2019GQ0074845,200,-60000,0,1,15
2019GQ0074960,306,-60000,0,1,15
2019GQ0075226,302,-60000,0,1,15
2019GQ0075527,306,-60000,0,1,15
2019GQ0075734,200,-60000,0,1,15
2019GQ0075763,200,-60000,0,1,15
2019GQ0075781,304,-60000,0,1,15
2019GQ0075909,301,-60000,0,1,15
2019GQ0075935,306,-60000,0,1,15
2019GQ0075971,301,-60000,0,1,15
2019GQ0076072,304,-60000,0,1,15
2019GQ0076159,307,-60000,0,1,15
2019GQ0076166,200,-60000,0,1,15
2019GQ0076196,302,-60000,0,1,15
2019GQ0076573,301,-60000,0,1,15
2019GQ0076694,301,-60000,0,1,15
2019GQ0076751,308,-60000,0,1,15
2019GQ0076857,306,-60000,0,1,15
2019GQ0076865,305,-60000,0,1,15
2019GQ0076883,100,-60000,0,1,15
2019GQ0077040,306,-60000,0,1,15
2019GQ0077322,304,-60000,0,1,15
2019GQ0077514,100,-60000,0,1,15
2019GQ0077516,302,-60000,0,1,15
2019GQ0077921,306,-60000,0,1,15
2019GQ0078037,301,-60000,0,1,15
2019GQ0079044,304,-60000,0,1,15
2019GQ0079145,303,-60000,0,1,15
2019GQ0079215,301,-60000,0,1,15
2019GQ0079424,301,-60000,0,1,15
2019GQ0079451,301,-60000,0,1,15
2019GQ0079530,100,-60000,0,1,15
2019GQ0079776,303,-60000,0,1,15
2019GQ0079857,301,-60000,0,1,15
2019GQ0080009,304,-60000,0,1,15
2019GQ0080074,302,-60000,0,1,15
2019GQ0080105,306,-60000,0,1,15
2019GQ0080254,100,-60000,0,1,15
2019GQ0080524,200,-60000,0,1,15
2019GQ0080607,304,-60000,0,1,15
2019GQ0080656,302,-60000,0,1,15
2019GQ0081641,304,-60000,0,1,15
2019GQ0081887,305,-60000,0,1,15
2019GQ0082051,307,-60000,0,1,15
2019GQ0082575,301,-60000,0,1,15
2019GQ0082757,302,-60000,0,1,15
2019GQ0083006,302,-60000,0,1,15
2019GQ0083075,301,-60000,0,1,15
2019GQ0083095,306,-60000,0,1,15
2019GQ0083130,200,-60000,0,1,15
2019GQ0083240,306,-60000,0,1,15
2019GQ0083291,308,-60000,0,1,15
2019GQ0083547,304,-60000,0,1,15
2019GQ0083569,306,-60000,0,1,15
2019GQ0083602,302,-60000,0,1,15
2019GQ0083923,301,-60000,0,1,15
2019GQ0084173,302,-60000,0,1,15
2019GQ0084310,304,-60000,0,1,15
2019GQ0084373,304,-60000,0,1,15
2019GQ0084514,200,-60000,0,1,15
2019GQ0084577,304,-60000,0,1,15
2019GQ0085181,301,-60000,0,1,15
2019GQ0085380,305,-60000,0,1,15
2019GQ0085513,305,-60000,0,1,15
2019GQ0085611,306,-60000,0,1,15
2019GQ0085809,306,-60000,0,1,15
2019GQ0085960,302,-60000,0,1,15
2019GQ0086016,304,-60000,0,1,15
2019GQ0086069,100,-60000,0,1,15
2019GQ0086307,301,-60000,0,1,15
2019GQ0086723,305,-60000,0,1,15
2019GQ0086775,305,-60000,0,1,15
2019GQ0086908,301,-60000,0,1,15
2019GQ0087042,307,-60000,0,1,15
2019GQ0087242,307,-60000,0,1,15
2019GQ0087357,304,-60000,0,1,15
2019GQ0087467,308,-60000,0,1,15
2019GQ0087939,305,-60000,0,1,15
2019GQ0088022,100,-60000,0,1,15
2019GQ0088254,307,-60000,0,1,15
2019GQ0088385,301,-60000,0,1,15
2019GQ0088450,304,-60000,0,1,15
2019GQ0088467,302,-60000,0,1,15
2019GQ0088482,306,-60000,0,1,15
2019GQ0088486,304,-60000,0,1,15
2019GQ0088494,306,-60000,0,1,15
2019GQ0088517,305,-60000,0,1,15
2019GQ0088597,301,-60000,0,1,15
2019GQ0088875,100,-60000,0,1,15
2019GQ0088997,302,-60000,0,1,15
2019GQ0089089,303,-60000,0,1,15
2019GQ0089472,303,-60000,0,1,15
2019GQ0089646,301,-60000,0,1,15
2019GQ0089819,301,-60000,0,1,15
2019GQ0089868,306,-60000,0,1,15
2019GQ0089880,303,-60000,0,1,15
2019GQ0090044,100,-60000,0,1,15
2019GQ0090115,302,-60000,0,1,15
2019GQ0090127,308,-60000,0,1,15
2019GQ0090167,200,-60000,0,1,15
2019GQ0090314,302,-60000,0,1,15
2019GQ0090317,307,-60000,0,1,15
2019GQ0090381,305,-60000,0,1,15
2019GQ0090436,100,-60000,0,1,15
2019GQ0090595,301,-60000,0,1,15
2019GQ0090640,306,-60000,0,1,15
2019GQ0090820,302,-60000,0,1,15
2019GQ0091133,200,-60000,0,1,15
2019GQ0091136,305,-60000,0,1,15
2019GQ0091593,305,-60000,0,1,15
2019GQ0091595,304,-60000,0,1,15
2019GQ0092172,306,-60000,0,1,15
2019GQ0092567,302,-60000,0,1,15
2019GQ0092597,301,-60000,0,1,15
2019GQ0092673,305,-60000,0,1,15
2019GQ0092770,200,-60000,0,1,15
2019GQ0092802,301,-60000,0,1,15
2019GQ0093220,303,-60000,0,1,15
2019GQ0093651,304,-60000,0,1,15
2019GQ0093706,302,-60000,0,1,15
2019GQ0093892,200,-60000,0,1,15
2019GQ0094616,100,-60000,0,1,15
2019GQ0094720,306,-60000,0,1,15
2019GQ0094783,306,-60000,0,1,15
2019GQ0094838,302,-60000,0,1,15
2019GQ0094848,306,-60000,0,1,15
2019GQ0094895,302,-60000,0,1,15
2019GQ0095594,305,-60000,0,1,15
2019GQ0095622,100,-60000,0,1,15
2019GQ0095728,301,-60000,0,1,15
2019GQ0096078,100,-60000,0,1,15
2019GQ0096173,305,-60000,0,1,15
2019GQ0096256,304,-60000,0,1,15
2019GQ0096811,302,-60000,0,1,15
2019GQ0096859,305,-60000,0,1,15
2019GQ0097937,100,-60000,0,1,15
2019GQ0098068,307,-60000,0,1,15
2019GQ0098157,100,-60000,0,1,15
2019GQ0098230,302,-60000,0,1,15
2019GQ0098267,307,-60000,0,1,15
2019GQ0098299,200,-60000,0,1,15
2019GQ0098310,302,-60000,0,1,15
2019GQ0098321,301,-60000,0,1,15
2019GQ0098601,301,-60000,0,1,15
2019GQ0099084,301,-60000,0,1,15
2019GQ0099105,302,-60000,0,1,15
2019GQ0099720,200,-60000,0,1,15
2019GQ0100033,306,-60000,0,1,15
2019GQ0100146,306,-60000,0,1,15
2019GQ0100252,305,-60000,0,1,15
2019GQ0100307,308,-60000,0,1,15
2019GQ0100412,200,-60000,0,1,15
2019GQ0100695,306,-60000,0,1,15
2019GQ0100919,305,-60000,0,1,15
2019GQ0101074,305,-60000,0,1,15
2019GQ0101225,302,-60000,0,1,15
2019GQ0101443,302,-60000,0,1,15
2019GQ0101591,301,-60000,0,1,15
2019GQ0102384,301,-60000,0,1,15
2019GQ0102459,200,-60000,0,1,15
2019GQ0102496,302,-60000,0,1,15
2019GQ0102732,306,-60000,0,1,15
2019GQ0102942,100,-60000,0,1,15
2019GQ0102950,306,-60000,0,1,15
2019GQ0103014,302,-60000,0,1,15
2019GQ0103353,100,-60000,0,1,15
2019GQ0103395,301,-60000,0,1,15
2019GQ0103746,306,-60000,0,1,15
2019GQ0103984,200,-60000,0,1,15
2019GQ0103990,306,-60000,0,1,15
2019GQ0104068,304,-60000,0,1,15
2019GQ0104149,301,-60000,0,1,15
2019GQ0104197,100,-60000,0,1,15
2019GQ0104419,100,-60000,0,1,15
2019GQ0105022,304,-60000,0,1,15
2019GQ0105280,100,-60000,0,1,15
2019GQ0105284,306,-60000,0,1,15
2019GQ0105932,302,-60000,0,1,15
2019GQ0105993,304,-60000,0,1,15
2019GQ0106087,304,-60000,0,1,15
2019GQ0106091,301,-60000,0,1,15
2019GQ0106305,305,-60000,0,1,15
2019GQ0106571,301,-60000,0,1,15
2019GQ0106597,306,-60000,0,1,15
2019GQ0106937,200,-60000,0,1,15
2019GQ0107351,100,-60000,0,1,15
2019GQ0107509,302,-60000,0,1,15
2019GQ0107523,304,-60000,0,1,15
2019GQ0107946,308,-60000,0,1,15
2019GQ0108018,308,-60000,0,1,15
2019GQ0108072,302,-60000,0,1,15
2019GQ0108084,307,-60000,0,1,15
