occupation_code,occupation_title,years_available,year_range,avg_employment,avg_mean_wage,avg_median_wage,total_wage_growth,annual_wage_growth
51-3093,Food Cooking Machine Operators and Tenders,3,2020-2022,120.0,28540.0,25863.333333333332,-0.01282483968950388,-0.006433112311759803
51-3099,"Food Processing Workers, All Other",4,2020-2023,175.0,31180.0,29325.0,0.01718213058419244,0.005694883597293421
51-4041,Machinists,5,2020-2024,262.0,74367.5,74675.0,,
51-4072,"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic",2,2023-2024,145.0,69755.0,68775.0,0.07172557172557173,0.07172557172557181
51-4121,"Welders, Cutters, Solderers, and Brazers",5,2020-2024,602.0,70654.0,70178.0,0.1501904036557502,0.03560093760303262
51-5111,Prepress Technicians and Workers,2,2020-2023,40.0,41555.0,39115.0,0.056669141301658,0.018543718723341707
51-5112,Printing Press Operators,5,2020-2024,344.0,41498.0,38648.0,-0.15431323283082077,-0.04103582352252466
51-5113,Print Binding and Finishing Workers,5,2020-2024,72.5,37646.0,38546.0,-0.123998114097124,-0.03255505374971601
51-6011,Laundry and Dry-Cleaning Workers,5,2020-2024,1512.0,34498.0,31230.0,0.15927051671732523,0.03763878785252395
51-6021,"Pressers, Textile, Garment, and Related Materials",3,2021-2024,120.0,32140.0,31330.0,0.2550578034682081,0.07866828412102533
51-6031,Sewing Machine Operators,5,2020-2024,230.0,35820.0,32648.0,0.4413369713506139,0.09569929367163588
51-6052,"Tailors, Dressmakers, and Custom Sewers",4,2020-2024,40.0,42245.0,41210.0,0.5530467058459635,0.11633908183224184
51-6093,Upholsterers,5,2020-2024,54.0,46616.0,43584.0,0.02032871972318339,0.005043890205632007
51-6099,"Textile, Apparel, and Furnishings Workers, All Other",5,2020-2024,94.0,54646.0,56424.0,0.4292777300085985,0.09340021945875576
51-7011,Cabinetmakers and Bench Carpenters,5,2020-2024,156.0,52340.0,48846.0,-0.023102930127723516,-0.005826456417437953
51-7042,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing",3,2020-2022,60.0,41656.666666666664,39223.333333333336,0.1276864728192162,0.06192583207077895
51-7099,"Woodworkers, All Other",4,2020-2023,42.5,54752.5,55135.0,0.333984375,0.10082152816732659
51-8013,Power Plant Operators,5,2020-2024,500.0,99234.0,104324.0,0.2218781108284482,0.05137336640976575
51-8021,Stationary Engineers and Boiler Operators,4,2021-2024,50.0,90135.0,97300.0,0.057023486901535685,0.018657559513213018
51-8031,Water and Wastewater Treatment Plant and System Operators,5,2020-2024,530.0,61118.0,63272.0,0.10767645543534261,0.02589575111739828
51-8093,"Petroleum Pump System Operators, Refinery Operators, and Gaugers",5,2020-2024,222.0,84628.0,83314.0,0.15815336867968446,0.03738871350443618
51-8099,"Plant and System Operators, All Other",4,2020-2023,50.0,63670.0,62565.0,-0.19947159841479525,-0.07147789301842922
51-9011,Chemical Equipment Operators and Tenders,2,2023-2024,35.0,56450.0,53195.0,-0.058135534915720675,-0.058135534915720655
51-9012,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders",5,2020-2024,130.0,47298.0,47010.0,0.17290236882886872,0.0406758246976997
51-9023,"Mixing and Blending Machine Setters, Operators, and Tenders",5,2020-2024,76.0,93760.0,68687.5,,
51-9041,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",2,2020-2021,60.0,30800.0,27680.0,0.31491920330702744,0.3149192033070274
51-9061,"Inspectors, Testers, Sorters, Samplers, and Weighers",5,2020-2024,466.0,56702.0,51622.0,0.17403885903265812,0.04092782529124417
51-9071,Jewelers and Precious Stone and Metal Workers,5,2020-2024,138.0,46996.0,43940.0,0.3747784249177007,0.0828247578517729
