zip_code,actual_county,puma_county,puma_code
96760,Honolulu,Honolulu,301.0
96760,Honolulu,Honolulu,302.0
96761,Honolulu,Honolulu,304.0
96761,Honolulu,Honolulu,305.0
96761,Honolulu,Honolulu,307.0
96761,Honolulu,Honolulu,303.0
96761,Honolulu,Honolulu,306.0
96761,Honolulu,Honolulu,308.0
96761,Honolulu,Honolulu,301.0
96761,Honolulu,Honolulu,302.0
96762,Honolulu,Honolulu,304.0
96762,Honolulu,Honolulu,305.0
96762,Honolulu,Honolulu,307.0
96762,Honolulu,Honolulu,303.0
96762,Honolulu,Honolulu,306.0
96762,Honolulu,Honolulu,308.0
96762,Honolulu,Honolulu,301.0
96762,Honolulu,Honolulu,302.0
96763,Honolulu,Honolulu,304.0
96763,Honolulu,Honolulu,305.0
96763,Honolulu,Honolulu,307.0
96763,Honolulu,Honolulu,303.0
96763,Honolulu,Honolulu,306.0
96763,Honolulu,Honolulu,308.0
96763,Honolulu,Honolulu,301.0
96763,Honolulu,Honolulu,302.0
96764,Honolulu,Honolulu,304.0
96764,Honolulu,Honolulu,305.0
96764,Honolulu,Honolulu,307.0
96764,Honolulu,Honolulu,303.0
96764,Honolulu,Honolulu,306.0
96764,Honolulu,Honolulu,308.0
96764,Honolulu,Honolulu,301.0
96764,Honolulu,Honolulu,302.0
96765,Honolulu,Honolulu,304.0
96765,Honolulu,Honolulu,305.0
96765,Honolulu,Honolulu,307.0
96765,Honolulu,Honolulu,303.0
96765,Honolulu,Honolulu,306.0
96765,Honolulu,Honolulu,308.0
96765,Honolulu,Honolulu,301.0
96765,Honolulu,Honolulu,302.0
96766,Honolulu,Honolulu,304.0
96766,Honolulu,Honolulu,305.0
96766,Honolulu,Honolulu,307.0
96766,Honolulu,Honolulu,303.0
96766,Honolulu,Honolulu,306.0
96766,Honolulu,Honolulu,308.0
96766,Honolulu,Honolulu,301.0
96766,Honolulu,Honolulu,302.0
96767,Honolulu,Honolulu,304.0
96767,Honolulu,Honolulu,305.0
96767,Honolulu,Honolulu,307.0
96767,Honolulu,Honolulu,303.0
96767,Honolulu,Honolulu,306.0
96767,Honolulu,Honolulu,308.0
96767,Honolulu,Honolulu,301.0
96767,Honolulu,Honolulu,302.0
96768,Honolulu,Honolulu,304.0
96768,Honolulu,Honolulu,305.0
96768,Honolulu,Honolulu,307.0
96768,Honolulu,Honolulu,303.0
96768,Honolulu,Honolulu,306.0
96768,Honolulu,Honolulu,308.0
96768,Honolulu,Honolulu,301.0
96768,Honolulu,Honolulu,302.0
96769,Honolulu,Honolulu,304.0
96769,Honolulu,Honolulu,305.0
96769,Honolulu,Honolulu,307.0
96769,Honolulu,Honolulu,303.0
96769,Honolulu,Honolulu,306.0
96769,Honolulu,Honolulu,308.0
96769,Honolulu,Honolulu,301.0
96769,Honolulu,Honolulu,302.0
96770,Honolulu,Honolulu,304.0
96770,Honolulu,Honolulu,305.0
96770,Honolulu,Honolulu,307.0
96770,Honolulu,Honolulu,303.0
96770,Honolulu,Honolulu,306.0
96770,Honolulu,Honolulu,308.0
96770,Honolulu,Honolulu,301.0
96770,Honolulu,Honolulu,302.0
96771,Honolulu,Honolulu,304.0
96771,Honolulu,Honolulu,305.0
96771,Honolulu,Honolulu,307.0
96771,Honolulu,Honolulu,303.0
96771,Honolulu,Honolulu,306.0
96771,Honolulu,Honolulu,308.0
96771,Honolulu,Honolulu,301.0
96771,Honolulu,Honolulu,302.0
96772,Honolulu,Honolulu,304.0
96772,Honolulu,Honolulu,305.0
96772,Honolulu,Honolulu,307.0
96772,Honolulu,Honolulu,303.0
96772,Honolulu,Honolulu,306.0
96772,Honolulu,Honolulu,308.0
96772,Honolulu,Honolulu,301.0
96772,Honolulu,Honolulu,302.0
96773,Honolulu,Honolulu,304.0
96773,Honolulu,Honolulu,305.0
96773,Honolulu,Honolulu,307.0
96773,Honolulu,Honolulu,303.0
96773,Honolulu,Honolulu,306.0
96773,Honolulu,Honolulu,308.0
96773,Honolulu,Honolulu,301.0
96773,Honolulu,Honolulu,302.0
96774,Honolulu,Honolulu,304.0
96774,Honolulu,Honolulu,305.0
96774,Honolulu,Honolulu,307.0
96774,Honolulu,Honolulu,303.0
96774,Honolulu,Honolulu,306.0
96774,Honolulu,Honolulu,308.0
96774,Honolulu,Honolulu,301.0
96774,Honolulu,Honolulu,302.0
96775,Honolulu,Honolulu,304.0
96775,Honolulu,Honolulu,305.0
96775,Honolulu,Honolulu,307.0
96775,Honolulu,Honolulu,303.0
96775,Honolulu,Honolulu,306.0
96775,Honolulu,Honolulu,308.0
96775,Honolulu,Honolulu,301.0
96775,Honolulu,Honolulu,302.0
96776,Honolulu,Honolulu,304.0
