Year Month,Tax Type,Amount
Jul 2019,Corporate Income,7087167.0600000005
Jul 2019,Individual Income,200537888.71
Jul 2019,Public Service Co.,11158019.79
Jul 2019,All Others,5000
Jul 2019,Banks/Financial Corp,3094440.04
Jul 2019,Fuel,5354525.67
Jul 2019,Rental Vehicle,4698333.26
Aug 2019,Banks/Financial Corp,-3762013.14
Aug 2019,Liquor,4372409.22
Aug 2019,General Excise & Use,299981533.77000004
Aug 2019,Public Service Co.,10868651.57
Aug 2019,County Surcharges,27604650.51
Aug 2019,Corporate Income,-3385932.3900000006
Aug 2019,Fuel,17103114.1
Aug 2019,Transient Accommodation,61174894.93
Aug 2019,Individual Income,181304485.67
Aug 2019,Inheritance/Estate,8501931.91
Aug 2019,Tobacco,9823704.09
Aug 2019,Rental Vehicle,6991476.28
Aug 2019,All Others,4047.56
Sep 2019,Transient Accommodation,55975179.86
Sep 2019,Liquor,4491514.48
Sep 2019,Inheritance/Estate,2201079.76
Sep 2019,Public Service Co.,11529310.7
Sep 2019,Corporate Income,22497044.439999998
Sep 2019,County Surcharges,28325959.09
Sep 2019,Fuel,31406181.94
Sep 2019,General Excise & Use,293990956.56
Sep 2019,Rental Vehicle,7975468.33
Sep 2019,Tobacco,10790128.76
Sep 2019,Individual Income,277356914.28999996
Sep 2019,Banks/Financial Corp,4597226.61
Sep 2019,All Others,-4734.96
Oct 2019,County Surcharges,25490039.95
Oct 2019,Fuel,17296533.78
Oct 2019,General Excise & Use,298459338.32
Oct 2019,Inheritance/Estate,912761.95
Oct 2019,Liquor,3881437.07
Oct 2019,Public Service Co.,10984780.24
Oct 2019,Corporate Income,11636908.3
Oct 2019,Banks/Financial Corp,3373687.09
Oct 2019,Transient Accommodation,49138698.37
Oct 2019,Tobacco,8822381.39
Oct 2019,All Others,4385.92
Oct 2019,Individual Income,229142992.45000002
Oct 2019,Rental Vehicle,6750663.57
Nov 2019,All Others,5395
Nov 2019,Individual Income,165839157.36999997
Nov 2019,Banks/Financial Corp,1405138.37
Nov 2019,County Surcharges,27444813.47
Nov 2019,Fuel,17917377.57
Nov 2019,General Excise & Use,281470928.22
Nov 2019,Inheritance/Estate,1293270.05
Nov 2019,Liquor,4656595.56
Nov 2019,Public Service Co.,10965476.48
Nov 2019,Corporate Income,-26753164.760000005
Nov 2019,Rental Vehicle,6932027.7
Nov 2019,Tobacco,10021884.54
Nov 2019,Transient Accommodation,46772763.99
Dec 2019,Individual Income,217397286.76
Dec 2019,General Excise & Use,284570469.73
Dec 2019,Corporate Income,28383040.090000004
Dec 2019,Banks/Financial Corp,2575713.91
Dec 2019,County Surcharges,25635556.13
Dec 2019,Fuel,17164979.009999998
Dec 2019,Inheritance/Estate,741961.89
Dec 2019,Liquor,4472312.14
Dec 2019,Public Service Co.,11058963.93
Dec 2019,Rental Vehicle,7078340.37
Dec 2019,Tobacco,7809115.61
Dec 2019,Transient Accommodation,46546401.98
Dec 2019,All Others,3070
Jan 2020,Individual Income,348930075
Jan 2020,County Surcharges,31238908
Jan 2020,Fuel,17477634.07
Jan 2020,Inheritance/Estate,3016392
Jan 2020,Liquor,5308176
Jan 2020,Public Service Co.,11588740
Jan 2020,Rental Vehicle,7589432.05
Jan 2020,Tobacco,11085844
Jan 2020,Transient Accommodation,73761295
Jan 2020,All Others,6035
Jan 2020,Banks/Financial Corp,3240944
Jan 2020,Corporate Income,12337483
Jan 2020,General Excise & Use,369050448
Feb 2020,Rental Vehicle,8502995.46
Feb 2020,Fuel,17197335.61
Feb 2020,County Surcharges,30045347
Feb 2020,Tobacco,9430921
Feb 2020,Banks/Financial Corp,3798812
Feb 2020,Corporate Income,-5730954
Feb 2020,General Excise & Use,310359006
Feb 2020,Inheritance/Estate,1351650
Feb 2020,All Others,437
Feb 2020,Individual Income,95367467
Feb 2020,Public Service Co.,11207319
Feb 2020,Transient Accommodation,64016641
Feb 2020,Liquor,4260382
Mar 2020,Corporate Income,-31506903.230000004
Mar 2020,Individual Income,115758877.32000002
Mar 2020,Inheritance/Estate,426400.39
Mar 2020,Liquor,4020419.51
Mar 2020,Rental Vehicle,8260435.17
Mar 2020,Public Service Co.,11823825.44
Mar 2020,Tobacco,7900585.85
Mar 2020,Transient Accommodation,59372755.32
Mar 2020,All Others,5015.03
Mar 2020,County Surcharges,29148869.55
Mar 2020,General Excise & Use,292057103.48
Mar 2020,Banks/Financial Corp,4558374.14
Mar 2020,Fuel,16557643.29
Apr 2020,General Excise & Use,266526430.16
Apr 2020,Liquor,4263204.16
Apr 2020,Public Service Co.,11682928.89
Apr 2020,Tobacco,8703492.39
Apr 2020,Transient Accommodation,37553410.05
